%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
1200.0,6130.0,TE,1550,alignTE,AlignMiddle_284,no commment
1280.0,6130.0,TE,1550,alignTE,AlignRight_285,no commment
1120.0,6003.0,TE,1550,alignTE,AlignLeft_286,no commment
200.0,6130.0,TE,1550,alignTE,AlignMiddle_287,no commment
280.0,6130.0,TE,1550,alignTE,AlignRight_288,no commment
120.0,6003.0,TE,1550,alignTE,AlignLeft_289,no commment
100.0,5300.0,TM,1310,Align,AlignFarm_296,no commment
180.0,5300.0,TM,1310,Align,AlignFarm_297,no commment
1200.0,5730.0,TM,1550,alignTE,AlignMiddle_300,no commment
1280.0,5730.0,TM,1550,alignTE,AlignRight_301,no commment
1120.0,5603.0,TM,1550,alignTE,AlignLeft_302,no commment
200.0,5730.0,TM,1550,alignTE,AlignMiddle_303,no commment
280.0,5730.0,TM,1550,alignTE,AlignRight_304,no commment
120.0,5603.0,TM,1550,alignTE,AlignLeft_305,no commment
530.0,2960.0,TM,1310,Align,AlignFarm_385,no commment
610.0,2960.0,TM,1310,Align,AlignFarm_386,no commment
1200.0,600.0,TM,1550,alignTE,AlignMiddle_416,no commment
1280.0,600.0,TM,1550,alignTE,AlignRight_417,no commment
1120.0,473.0,TM,1550,alignTE,AlignLeft_418,no commment
200.0,835.0,TM,1550,alignTE,AlignMiddle_423,no commment
280.0,835.0,TM,1550,alignTE,AlignRight_424,no commment
120.0,708.0,TM,1550,alignTE,AlignLeft_425,no commment
1200.0,200.0,TE,1550,alignTE,AlignMiddle_426,no commment
1280.0,200.0,TE,1550,alignTE,AlignRight_427,no commment
1120.0,73.0,TE,1550,alignTE,AlignLeft_428,no commment
180.0,450.0,TM,1310,Align,AlignFarm_429,no commment
100.0,450.0,TM,1310,Align,AlignFarm_430,no commment
200.0,200.0,TE,1550,alignTE,AlignMiddle_435,no commment
280.0,200.0,TE,1550,alignTE,AlignRight_436,no commment
120.0,73.0,TE,1550,alignTE,AlignLeft_437,no commment
304.0,5047.0,TM,1550,TMBraggBio,TMBraggBio_19_280,L-360um-width-416nm-corr-80nm
50.0,4867.0,TM,1550,TMBraggBio,TMBraggBio_17_281,L-360um-width-436nm-corr-80nm
177.0,4957.0,TM,1550,TMBraggBio,TMBraggBio_18_282,L-360um-width-436nm-corr-140nm
431.0,5137.0,TM,1550,TMBraggBio,TMBraggBio_20_283,L-360um-width-416nm-corr-140nm
50.0,4297.0,TM,1550,TMBraggBio,TMBraggBio_13_315,L-270um-width-436nm-corr-80nm
177.0,3367.0,TM,1550,TMBraggBio,TMBraggBio_10_316,L-180um-width-436nm-corr-140nm
431.0,3547.0,TM,1550,TMBraggBio,TMBraggBio_12_317,L-180um-width-416nm-corr-140nm
304.0,3457.0,TM,1550,TMBraggBio,TMBraggBio_11_319,L-180um-width-416nm-corr-80nm
50.0,3277.0,TM,1550,TMBraggBio,TMBraggBio_9_323,L-180um-width-436nm-corr-80nm
431.0,4567.0,TM,1550,TMBraggBio,TMBraggBio_16_325,L-270um-width-416nm-corr-140nm
304.0,4477.0,TM,1550,TMBraggBio,TMBraggBio_15_326,L-270um-width-416nm-corr-80nm
177.0,4387.0,TM,1550,TMBraggBio,TMBraggBio_14_332,L-270um-width-436nm-corr-140nm
177.0,1677.0,TM,1550,TMBraggBio,TMBraggBio_2_370,L-90um-width-436nm-corr-140nm
304.0,2897.0,TM,1550,TMBraggBio,TMBraggBio_7_371,L-135um-width-416nm-corr-80nm
50.0,2717.0,TM,1550,TMBraggBio,TMBraggBio_5_373,L-135um-width-436nm-corr-80nm
431.0,2987.0,TM,1550,TMBraggBio,TMBraggBio_8_375,L-135um-width-416nm-corr-140nm
431.0,1857.0,TM,1550,TMBraggBio,TMBraggBio_4_377,L-90um-width-416nm-corr-140nm
177.0,2807.0,TM,1550,TMBraggBio,TMBraggBio_6_378,L-135um-width-436nm-corr-140nm
304.0,1767.0,TM,1550,TMBraggBio,TMBraggBio_3_381,L-90um-width-416nm-corr-80nm
50.0,1587.0,TM,1550,TMBraggBio,TMBraggBio_1_403,L-90um-width-436nm-corr-80nm
321.85,3928.1,TE,1550,slotBragg,BraggN150p440nmCorr40nm_318,no commment
244.8,3963.15,TE,1550,slotBragg,BraggN100p440nmCorr40nm_322,no commment
409.6,3881.5,TE,1550,slotBragg,BraggN200p440nmCorr40nm_324,no commment
508.6,3834.05,TE,1550,slotBragg,BraggN250p440nmCorr40nm_331,no commment
463.55,2413.9,TE,1550,TEBraggBio,TEBraggBio_4_372,L-126.4um-width-436nm-corr-60nm
336.55,2323.9,TE,1550,TEBraggBio,TEBraggBio_3_374,L-94.8um-width-436nm-corr-60nm
209.55,2233.9,TE,1550,TEBraggBio,TEBraggBio_2_376,L-63.2um-width-436nm-corr-60nm
82.55,2143.9,TE,1550,TEBraggBio,TEBraggBio_1_379,L-50.56um-width-436nm-corr-60nm
87.35,3627.55,TE,1550,TETMRing,TERingR40g200L7_24_320,no commment
87.35,4008.55,TM,1550,TETMRing,TMRingR40g200L3wg750_321,no commment
3226.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_22_145,L-200um-width-345nm-corr-80nm
3301.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_23_146,L-200um-width-345nm-corr-110nm
3376.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_24_147,L-200um-width-345nm-corr-149nm
3451.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_25_148,L-200um-width-325nm-corr-0nm
3526.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_26_149,L-200um-width-325nm-corr-30nm
3601.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_27_150,L-200um-width-325nm-corr-50nm
3676.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_28_151,L-200um-width-325nm-corr-80nm
3751.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_29_152,L-200um-width-325nm-corr-110nm
3826.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_30_153,L-200um-width-325nm-corr-149nm
3251.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_39_154,L-400um-width-345nm-corr-50nm
3326.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_40_155,L-400um-width-345nm-corr-80nm
3401.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_41_156,L-400um-width-345nm-corr-110nm
3476.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_42_157,L-400um-width-345nm-corr-149nm
3551.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_43_158,L-400um-width-325nm-corr-0nm
3626.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_44_159,L-400um-width-325nm-corr-30nm
3701.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_45_160,L-400um-width-325nm-corr-50nm
3001.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_19_248,L-200um-width-345nm-corr-0nm
3076.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_20_249,L-200um-width-345nm-corr-30nm
3151.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_21_250,L-200um-width-345nm-corr-50nm
2951.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_35_251,L-200um-width-365nm-corr-110nm
3026.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_36_252,L-200um-width-365nm-corr-149nm
3101.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_37_253,L-400um-width-345nm-corr-0nm
1601.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_3_254,L-100um-width-345nm-corr-50nm
1676.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_4_255,L-100um-width-345nm-corr-80nm
1751.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_5_256,L-100um-width-345nm-corr-110nm
1826.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_6_257,L-100um-width-345nm-corr-149nm
1901.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_7_258,L-100um-width-325nm-corr-0nm
1976.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_8_259,L-100um-width-325nm-corr-30nm
2051.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_9_260,L-100um-width-325nm-corr-50nm
2126.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_10_261,L-100um-width-325nm-corr-80nm
2201.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_11_262,L-100um-width-325nm-corr-110nm
2276.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_12_263,L-100um-width-325nm-corr-149nm
2351.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_13_264,L-100um-width-365nm-corr-0nm
2426.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_14_265,L-100um-width-365nm-corr-30nm
2501.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_15_266,L-100um-width-365nm-corr-50nm
2776.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_16_267,L-100um-width-365nm-corr-80nm
2851.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_17_268,L-100um-width-365nm-corr-110nm
2926.55,5346.45,TM,1310,TMBraggTest,TMBraggTest_18_269,L-100um-width-365nm-corr-149nm
2651.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_31_270,L-200um-width-365nm-corr-0nm
2726.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_32_271,L-200um-width-365nm-corr-30nm
2801.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_33_272,L-200um-width-365nm-corr-50nm
2876.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_34_273,L-200um-width-365nm-corr-80nm
1451.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_1_278,L-100um-width-345nm-corr-0nm
1526.45,6161.75,TM,1310,TMBraggTest,TMBraggTest_2_279,L-100um-width-345nm-corr-30nm
2636.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_59_338,L-600um-width-345nm-corr-110nm
1661.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_46_339,L-400um-width-325nm-corr-80nm
1736.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_47_340,L-400um-width-325nm-corr-110nm
1811.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_48_341,L-400um-width-325nm-corr-149nm
1886.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_49_342,L-400um-width-365nm-corr-0nm
1961.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_50_343,L-400um-width-365nm-corr-30nm
2036.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_51_344,L-400um-width-365nm-corr-50nm
2111.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_52_345,L-400um-width-365nm-corr-80nm
2186.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_53_346,L-400um-width-365nm-corr-110nm
2261.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_54_347,L-400um-width-365nm-corr-149nm
2336.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_55_348,L-600um-width-345nm-corr-0nm
2411.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_56_349,L-600um-width-345nm-corr-30nm
2486.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_57_350,L-600um-width-345nm-corr-50nm
2711.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_60_354,L-600um-width-345nm-corr-149nm
2561.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_58_356,L-600um-width-345nm-corr-80nm
1523.05,287.35,TM,1550,TMBraggTest,TMBraggTest_77_399,L-600um-width-416nm-corr-180nm
1448.05,287.35,TM,1550,TMBraggTest,TMBraggTest_76_400,L-600um-width-416nm-corr-150nm
1566.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_20_401,L-100um-width-456nm-corr-150nm
1491.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_19_402,L-100um-width-456nm-corr-110nm
1526.25,728.4,TM,1550,TMBraggTest,TMBraggTest_92_404,L-900um-width-416nm-corr-0nm
1451.25,728.4,TM,1550,TMBraggTest,TMBraggTest_91_405,L-900um-width-436nm-corr-180nm
1598.05,287.35,TM,1550,TMBraggTest,TMBraggTest_78_406,L-600um-width-456nm-corr-0nm
427.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_6_407,L-100um-width-436nm-corr-150nm
352.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_5_408,L-100um-width-436nm-corr-110nm
277.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_4_409,L-100um-width-436nm-corr-80nm
202.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_3_410,L-100um-width-436nm-corr-50nm
127.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_2_411,L-100um-width-436nm-corr-30nm
52.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_1_412,L-100um-width-436nm-corr-0nm
1416.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_18_413,L-100um-width-456nm-corr-80nm
1341.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_17_414,L-100um-width-456nm-corr-50nm
